DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,class
0.151122397,0.212885054,0.824637862,0.612119393,0.630482317,0.32700587,0.448666337,0.168257195,0.617322053,0.232552786,0.157643384,0.576166823,0.74768812,0.598503712,0.574774593,0.286697073,0.650637055,0.698164129,0.622784146,0.711198439,0.136915065,0.419648537,0.317148877,0.593714826,0.627906901,0.596268748,0.640167363,0.643070063,0.766146142,0.29559592,0.549817074,0.747440849,0.092034886,0.541195655,0.152337841,0.687269264,0.553921675,0.467277915,0.509996102,0.469461259,0.436170303,0.506017532,0.163368289,0.323058647,0.373254165,0.604515922,0.303363454,0.178457957,0.32408545,0.402809558,0.083583658,0.327869619,0.690257212,0.426816229,0.412720604,0.477834023,0.057167947,0.228825356,0.53116295,0.15110301,0.242608488,0.169701549,0.432843012,0.483783123,0.044769563,0.256698889,0.405228325,0.162940679,0.177312044,0.102531879,0.426816229,0.13392994,0.336299283,0.087714957,0.102889755,0.084579524,0.705737642,5
0.155750405,0.188225661,0.776454631,0.601070119,0.585246854,0.311886808,0.429899395,0.154924929,0.590172706,0.205362402,0.159720904,0.559555955,0.688544602,0.559597648,0.502766126,0.270687806,0.587925531,0.591605544,0.629310975,0.689094717,0.128910672,0.383669268,0.29158293,0.548031602,0.578735675,0.584233607,0.61435493,0.586179902,0.72459285,0.251839565,0.491969195,0.701976059,0.075589299,0.467650007,0.137450503,0.621033108,0.512116577,0.409897027,0.457693904,0.410046189,0.383100911,0.447496004,0.145594431,0.322735533,0.376914398,0.618917977,0.30205889,0.177451813,0.32400421,0.386523918,0.084513602,0.326426078,0.664894314,0.429952483,0.463250845,0.488028361,0.075102918,0.251911331,0.576828078,0.149554911,0.285859673,0.212420562,0.472327132,0.477640306,0.054452127,0.226088373,0.433471107,0.220009994,0.146493796,0.102531879,0.429952483,0.110433667,0.36520781,0.080691928,0.115873793,0.093976992,0.749771047,5
0.153458588,0.20569615,0.793571924,0.558910682,0.575909687,0.306369423,0.441381311,0.15348485,0.607101801,0.19919444,0.154554059,0.541938124,0.670904942,0.560573408,0.554482615,0.283847832,0.590443319,0.58155842,0.669752717,0.67090662,0.12865067,0.415578548,0.292675844,0.549982628,0.599925035,0.580789634,0.625755945,0.613502252,0.730384303,0.270560109,0.472443567,0.71071787,0.076445022,0.470688088,0.137474706,0.616142362,0.510175172,0.375653272,0.467724937,0.400225385,0.356362678,0.432378523,0.125773429,0.334324906,0.383315822,0.657565098,0.332564814,0.189744138,0.369553443,0.373234189,0.094485608,0.312439048,0.700211895,0.448652166,0.415862745,0.475009153,0.071717775,0.248191535,0.607534676,0.150434132,0.373878799,0.202732835,0.467602688,0.484953084,0.044525655,0.214718982,0.429386748,0.186816286,0.155920371,0.102531879,0.448652166,0.121560138,0.353621288,0.080465404,0.109049934,0.082162061,0.868228565,5
0.125168736,0.157687636,0.637326269,0.468152108,0.480645926,0.335529837,0.444307496,0.132074036,0.486944983,0.205135341,0.127027862,0.554293431,0.657047855,0.640640743,0.413245345,0.211237904,0.522319256,0.627585483,0.687775152,0.593407591,0.121509111,0.401865785,0.319599496,0.34208025,0.452057637,0.545715606,0.625527788,0.492220397,0.667283486,0.277207694,0.44078044,0.536330238,0.076936093,0.479532756,0.144944593,0.60565402,0.514304574,0.338198873,0.461188701,0.406715113,0.402786368,0.422989358,0.267936239,0.220414398,0.311501232,0.549443712,0.364189406,0.181101295,0.231762235,0.333032994,0.076248356,0.338264028,0.669357523,0.392699641,0.372772481,0.397938875,0.053257426,0.245675647,0.562593699,0.156082535,0.242671884,0.184789729,0.364358907,0.449303879,0.11925924,0.208942532,0.407971081,0.179046901,0.22960193,0.102531879,0.392699641,0.151030617,0.265618945,0.126762995,0.164241256,0.144542837,0.721878956,5
0.122146245,0.157837675,0.637786754,0.426466813,0.441976689,0.314975817,0.433100452,0.129085983,0.410194352,0.189151656,0.117571718,0.532160822,0.608970048,0.551235837,0.401705582,0.200364037,0.486489235,0.57983928,0.698126931,0.557701252,0.112407372,0.381347581,0.297195903,0.358745606,0.433909097,0.519976828,0.599622919,0.471524072,0.627685293,0.23987408,0.410394783,0.519185833,0.067645311,0.436521934,0.121260751,0.548236702,0.501294459,0.283303743,0.416698113,0.372548276,0.353712011,0.374357208,0.262839332,0.212520975,0.317399721,0.559551244,0.376198996,0.181804782,0.258719738,0.337126101,0.079696602,0.330219201,0.686523717,0.410187162,0.385007658,0.422195467,0.08016208,0.234761886,0.656299819,0.147044057,0.325597211,0.187624862,0.393331659,0.480334097,0.116964658,0.215527834,0.480341809,0.245702319,0.215007558,0.102531879,0.410187162,0.147710865,0.350381382,0.096958805,0.136297904,0.149280908,0.812053046,5
0.127446087,0.16239627,0.660264168,0.434771578,0.455165213,0.326475721,0.443401495,0.13027367,0.425856472,0.178274054,0.122071882,0.538647585,0.610353518,0.523499471,0.395327678,0.212133581,0.510509356,0.561623665,0.720619526,0.543931189,0.113349278,0.386332512,0.320957118,0.316561704,0.448823091,0.55784665,0.60001948,0.510211838,0.629798535,0.250233444,0.391499831,0.523339163,0.066722466,0.427553661,0.096963894,0.529935749,0.505055552,0.269387754,0.418593968,0.362834893,0.32636855,0.361410568,0.251949393,0.223247638,0.326069702,0.566564866,0.372177785,0.167986138,0.291969184,0.295574957,0.087545733,0.315252853,0.660472446,0.428685596,0.362712762,0.466509944,0.067679221,0.228451422,0.571257379,0.137533547,0.32122393,0.156783381,0.3777186,0.477000192,0.124400332,0.147848601,0.424556722,0.170932978,0.223376267,0.102531879,0.428685596,0.140416004,0.36171824,0.092399142,0.138069851,0.129418115,0.796928665,5
0.119232942,0.139285102,0.595655545,0.413461629,0.405572231,0.340336346,0.474111771,0.109216916,0.428964935,0.208117276,0.105556993,0.560922816,0.63603723,0.550466317,0.378983652,0.180387072,0.492580616,0.579387682,0.723476847,0.520430751,0.126705692,0.392629711,0.351638917,0.264655875,0.360946278,0.521852342,0.631204073,0.481121566,0.615751328,0.276966505,0.428056238,0.453290447,0.077462109,0.476063349,0.150315746,0.616676246,0.529871799,0.300448344,0.45709527,0.392206896,0.40537991,0.37723805,0.334648493,0.138825317,0.26809322,0.502872286,0.422202811,0.174520092,0.197357283,0.250239288,0.06775813,0.314099521,0.647361128,0.334229069,0.39241963,0.323749525,0.03898239,0.224604911,0.515119719,0.155570464,0.217138159,0.129362098,0.280205023,0.392164136,0.10108611,0.242561319,0.352178548,0.127165836,0.276192208,0.102531879,0.334229069,0.152325014,0.294767686,0.143819889,0.200444699,0.178497829,0.610378787,5
0.114547203,0.13518713,0.556369861,0.382932414,0.375269036,0.318607914,0.456977099,0.108493343,0.398022456,0.175143081,0.102974867,0.523221137,0.592597815,0.497607733,0.350748448,0.17430176,0.457318862,0.517011652,0.709192471,0.504270432,0.108983497,0.395834662,0.282632638,0.251469357,0.348796622,0.50138018,0.599356762,0.440536798,0.595174787,0.263764603,0.352245793,0.45028972,0.067064055,0.433353239,0.134549977,0.551598514,0.485751644,0.239724784,0.412892458,0.342797917,0.312488044,0.320411914,0.309901689,0.150317604,0.252891682,0.486988459,0.430084023,0.168749802,0.228769874,0.309809689,0.070992675,0.321066858,0.654819346,0.352367925,0.368283329,0.366448747,0.046088134,0.235975111,0.616723489,0.133177101,0.275926396,0.143872967,0.307494501,0.456612534,0.100039715,0.168228328,0.425014224,0.176326352,0.272095218,0.102531879,0.352367925,0.161656567,0.247335453,0.109191821,0.196251807,0.184618332,0.69083844,5
0.101636544,0.124324061,0.530236751,0.327546932,0.344908158,0.302608864,0.409985786,0.0845604,0.35088019,0.146518739,0.095828827,0.48685347,0.51520237,0.463096687,0.273235293,0.157032552,0.429409807,0.502990497,0.663994873,0.479727273,0.091817291,0.31055837,0.275600952,0.221732986,0.320366243,0.473583879,0.540127551,0.393013481,0.54409464,0.236434667,0.291191687,0.394523527,0.055589899,0.372866275,0.094471861,0.490775286,0.43304967,0.20438677,0.374988144,0.283906254,0.254530971,0.247389056,0.291141182,0.16176282,0.274501475,0.440479401,0.433485861,0.178077448,0.236720392,0.287848057,0.075566494,0.312375304,0.629068759,0.414135758,0.346228302,0.376755734,0.054747016,0.240653313,0.557632409,0.129228783,0.283907651,0.120938266,0.317939859,0.450203008,0.08076849,0.171163447,0.406226118,0.150719039,0.264746308,0.102531879,0.414135758,0.117300025,0.353442193,0.113683821,0.184881541,0.180857592,0.808728527,5
0.099323865,0.107722707,0.647368333,0.315408095,0.275914548,0.345540044,0.490272614,0.061087935,0.389179175,0.173336043,0.089639083,0.616354247,0.626002644,0.565666937,0.267983762,0.143984043,0.435026751,0.4874217,0.715461785,0.452795363,0.096266924,0.47998079,0.411559489,0.177186772,0.255282424,0.471950905,0.620199742,0.575348507,0.545520418,0.338699407,0.36474525,0.309553616,0.094726151,0.488553203,0.236000061,0.60053971,0.522734407,0.275712521,0.439759648,0.38843472,0.425483785,0.388684552,0.375363306,0.111112876,0.219943134,0.493418981,0.477085739,0.189650305,0.17268645,0.199858778,0.066055127,0.338474911,0.585032703,0.284676679,0.22327225,0.316110448,0.042145419,0.317313803,0.513416261,0.162732168,0.209613408,0.158238511,0.251288722,0.366562113,0.247580951,0.191585104,0.360327719,0.166259139,0.492347244,0.102531879,0.284676679,0.18401827,0.311734509,0.166075447,0.326514276,0.290105986,0.602848006,5
